nombre,tiempo,ingredientes,tipo,comida,instrucciones,image_ruta
Guiso de lentejas tradicional,45,"Lentejas parrilleras, Chorizo colorado, Panceta, Cebolla, Zanahoria, Papa, Laurel, Pimentón",C,cena,"1. Remojar las lentejas. 2. Saltear cebolla, zanahoria y carnes. 3. Agregar lentejas, papas y especias. 4. Cocinar a fuego lento hasta que esté tierno.","https://images.unsplash.com/photo-1547592166-23ac45744acd?q=80&w=800"
Milanesas con puré cremoso,30,"Carne de nalga, Pan rallado, Huevos, Ajo, Perejil, Papas, Leche, Manteca",C,cena,"1. Pasar la carne por huevo batido con ajo y perejil, luego por pan rallado. 2. Freír o hornear las milanesas. 3. Hervir las papas y pisarlas con leche y manteca para el puré.","https://images.unsplash.com/photo-1632778149975-420e0e75ee08?q=80&w=800"
Risotto de hongos y parmesano,35,"Arroz carnaroli o arbóreo, Hongos secos, Champignones, Caldo de verduras, Queso parmesano, Vino blanco, Cebolla",G,cena,"1. Hidratar los hongos secos. 2. Saltear cebolla y hongos. 3. Tostar el arroz, agregar vino y luego caldo caliente poco a poco, revolviendo siempre. 4. Terminar con parmesano.","https://images.unsplash.com/photo-1476124369491-e7addf5db371?q=80&w=800"
Tarta de calabaza y queso de cabra,40,"Masa de tarta, Calabaza asada, Cebolla caramelizada, Queso de cabra o mozzarella, Huevos, Crema de leche",V,cena,"1. Hacer un puré con la calabaza asada. 2. Mezclar con cebolla, huevos y crema. 3. Colocar en la masa, agregar trozos de queso y hornear hasta dorar.","https://images.unsplash.com/photo-1505253149613-112d21d9f6a9?q=80&w=800"
Pastel de papas clásico,50,"Carne picada, Cebolla, Pimiento, Huevo duro, Aceitunas, Papas, Leche, Queso rallado",C,cena,"1. Cocinar la carne con cebolla y pimiento. 2. Preparar un puré de papas consistente. 3. En una fuente, poner la carne, huevo duro y aceitunas. 4. Cubrir con puré, queso rallado y gratinar.","https://images.unsplash.com/photo-1594971475674-6a97f8fe8c2b?q=80&w=800"
Wok de pollo y vegetales orientales,20,"Pechuga de pollo, Brócoli, Zanahoria, Pimientos, Salsa de soja, Jengibre, Arroz blanco",C,cena,"1. Cortar el pollo y vegetales en tiras. 2. Saltear el pollo a fuego fuerte. 3. Agregar vegetales y cocinar 5 min. 4. Terminar con jengibre y abundante salsa de soja. Servir con arroz.","https://images.unsplash.com/photo-1512058560366-cd24270083cd?q=80&w=800"
Canelones de espinaca y ricota,60,"Panqueques, Espinaca cocida, Ricota, Queso parmesano, Salsa blanca, Salsa de tomate",V,cena,"1. Mezclar la espinaca con ricota y queso. 2. Rellenar los panqueques y enrollar. 3. Cubrir con ambas salsas en una fuente. 4. Hornear 20 minutos.","https://images.unsplash.com/photo-1574894709920-11b28e7367e3?q=80&w=800"
Salmón a las hierbas con vegetales,25,"Filet de salmón, Limón, Romero, Tomillo, Espárragos, Tomates cherry",C,cena,"1. Condimentar el salmón con hierbas y limón. 2. Colocar en una placa con los vegetales. 3. Hornear a fuego fuerte por 15-20 minutos. 4. Servir caliente.","https://images.unsplash.com/photo-1467003909585-2f8a72700288?q=80&w=800"
Lasaña vegetariana de berenjenas,50,"Berenjenas, Salsa de tomate, Queso mozzarella, Ricota, Espinaca, Albahaca",V,cena,"1. Cortar berenjenas en láminas y grillarlas. 2. Armar capas de berenjena, ricota con espinaca, salsa y queso. 3. Repetir hasta completar. 4. Hornear hasta que el queso burbujee.","https://images.unsplash.com/photo-1619895092538-128341789043?q=80&w=800"
Pollo al horno con papas rústicas,60,"Pollo entero o trozado, Papas, Romero, Ajo, Limón, Aceite de oliva",C,cena,"1. Acomodar el pollo y las papas trozadas en una fuente. 2. Condimentar con ajo, romero y abundante limón. 3. Hornear a 200°C por una hora aprox.","https://images.unsplash.com/photo-1598515214211-89d3c73ae83b?q=80&w=800"
